"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Positive test of login to Saucedemo with valid credentials.","1867","Check login to Saucedemo with valid credentials.","SauceDemo Smoke Test","Mon Dec 16 20:33:12 GMT 2024","passed","Mon Dec 16 20:33:14 GMT 2024","tests.LoginTest","Thread#2","tests.LoginTest","checkLogin"
"Test of negative scenarios - when either first name, or last name, or zipcode is NOT entered.","1550","Check checkout with different invalid data.","SauceDemo Smoke Test","Mon Dec 16 20:34:12 GMT 2024","passed","Mon Dec 16 20:34:14 GMT 2024","tests.CheckoutTest","Thread#3","tests.CheckoutTest","testCheckoutWithInvalidData"
"Check login to Saucedemo with various invalid credentials - empty login/password fields, no creds, incorrect username/password","462","Check login to Saucedemo with different invalid credentials.","SauceDemo Smoke Test","Mon Dec 16 20:33:04 GMT 2024","passed","Mon Dec 16 20:33:05 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","negativeTestsOfLogin"
"Check login to Saucedemo with various invalid credentials - empty login/password fields, no creds, incorrect username/password","1195","Check login to Saucedemo with different invalid credentials.","SauceDemo Smoke Test","Mon Dec 16 20:33:32 GMT 2024","passed","Mon Dec 16 20:33:33 GMT 2024","tests.LoginTest","Thread#3","tests.LoginTest","negativeTestsOfLogin"
"Check that next page of checkout - 'Checkout: Overview' - opens after entering valid data to form.","1154","Check that next page of checkout opens after entering valid data.","SauceDemo Smoke Test","Mon Dec 16 20:33:27 GMT 2024","passed","Mon Dec 16 20:33:28 GMT 2024","tests.CheckoutTest","Thread#1","tests.CheckoutTest","testCheckoutWithAllFields"
"Check that it is possible to open Shopping cart from Products page even when nothing was added to cart.","863","Check that it is possible to open Shopping cart from Products page.","SauceDemo Smoke Test","Mon Dec 16 20:34:24 GMT 2024","passed","Mon Dec 16 20:34:25 GMT 2024","tests.ProductsTest","Thread#3","tests.ProductsTest","testSwitchingToCart"
"Check login to Saucedemo with various invalid credentials - empty login/password fields, no creds, incorrect username/password","872","Check login to Saucedemo with different invalid credentials.","SauceDemo Smoke Test","Mon Dec 16 20:33:23 GMT 2024","passed","Mon Dec 16 20:33:23 GMT 2024","tests.LoginTest","Thread#3","tests.LoginTest","negativeTestsOfLogin"
"Check that switching to Checkout page 'Checkout: Your Information' happens.","1225","Check that switching to Checkout page happens.","SauceDemo Smoke Test","Mon Dec 16 20:33:11 GMT 2024","passed","Mon Dec 16 20:33:12 GMT 2024","tests.CartTest","Thread#1","tests.CartTest","checkSwitchToCheckout"
"Check login to Saucedemo with various invalid credentials - empty login/password fields, no creds, incorrect username/password","708","Check login to Saucedemo with different invalid credentials.","SauceDemo Smoke Test","Mon Dec 16 20:33:26 GMT 2024","passed","Mon Dec 16 20:33:26 GMT 2024","tests.LoginTest","Thread#2","tests.LoginTest","negativeTestsOfLogin"
"Check that all items can be removed from shopping cart","11185","Check that several products can be added and removed from cart.","SauceDemo Smoke Test","Mon Dec 16 20:33:39 GMT 2024","passed","Mon Dec 16 20:33:50 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","removeSeveralProductsToCart"
